Wavelength	BA RSR [watts]	stdev(RSR)
2265	0.978024	0.032128
2266	0.975019	0.032786
2267	0.972794	0.033206
2268	0.974168	0.033307
2269	0.97654		0.03321
2270	0.976199	0.033664
2271	0.975206	0.034432
2272	0.974409	0.035514
2273	0.973662	0.036804
2274	0.967502	0.038094
2275	0.959895	0.039383
2276	0.956943	0.040161
2277	0.955095	0.04066
2278	0.955085	0.04139
2279	0.955588	0.042265
2280	0.947195	0.042854
2281	0.93665		0.043281
2282	0.922405	0.044229
2283	0.907109	0.04551
2284	0.89494		0.0492
2285	0.883588	0.054275
2286	0.855489	0.058387
2287	0.823876	0.062007
2288	0.78488		0.06587
2289	0.744025	0.069872
2290	0.69852		0.072233
2291	0.651673	0.073539
2292	0.602539	0.073725
2293	0.552647	0.073113
2294	0.502693	0.071361
2295	0.452698	0.069035
2296	0.403993	0.065325
2297	0.355569	0.06084
2298	0.315712	0.055563
2299	0.27826		0.049795
2300	0.244645	0.044589
2301	0.212213	0.039765
2302	0.186151	0.035221
2303	0.161749	0.030846
2304	0.141435	0.027042
2305	0.122015	0.023537
2306	0.106531	0.020477
2307	0.092029	0.017673
2308	0.080268	0.015305
2309	0.069276	0.013213
2310	0.060703	0.011478
2311	0.052702	0.009942
2312	0.046332	0.008655
2313	0.040405	0.00752
2314	0.035634	0.006594
2315	0.031213	0.005808
2316	0.027516	0.005148
2317	0.024		0.004561
2318	0.021262	0.004108
2319	0.018688	0.003724
2320	0.016562	0.00336
2321	0.014545	0.003006
2322	0.01293		0.002732
2323	0.011426	0.002506
2324	0.010155	0.002327
2325	0.008959	0.00218
2326	0.007992	0.002057
2327	0.007088	0.001948
2328	0.006348	0.001855
2329	0.005643	0.001772
2330	0.005019	0.001686
2331	0.004415	0.0016
2332	0.003903	0.001529
2333	0.003421	0.001469
2334	0.003025	0.001438
2335	0.002651	0.001425
2336	0.00234		0.001395
2337	0.002047	0.001354
2338	0.001795	0.001318
2339	0.001554	0.001284
2340	0.001345	0.001274
2341	0.001145	0.001278
2342	0.000974	0.001276
2343	0.000811	0.001271
2344	0.00068		0.001271
2345	0.00056		0.001273
2346	0.00044		0.001253
2347	0.00032		0.001219
2348	0.000217	0.001233
2349	0.000119	0.001279
2350	0.000028	0.001249
2351	-0.000062	0.001175
2352	-0.000134	0.001158
2353	-0.000202	0.001171
2354	-0.000263	0.0012
2355	-0.000322	0.00124
