   WAVE       FLUX       ERROR      RMS 
  331.500      2.61      1.37      1.42
  331.800     0.719      0.88     0.965
  332.100      2.88      1.51      1.55
  332.400      2.89      1.38      1.44
  332.700      2.12      1.24       1.3
  333.000      1.59      1.11      1.18
  333.300      2.42      1.42      1.47
  333.600      2.83      1.38      1.44
  333.900      2.92       1.4      1.46
  334.200      4.05       1.6      1.65
  334.500      4.57      1.72      1.77
  334.800      1.95      1.32       1.4
  335.100      3.78      1.56      1.61
  335.400      2.66      1.34      1.41
  335.700       1.6      1.09      1.16
  336.000      2.77      1.46       1.5
  336.300      3.83      1.51      1.57
  336.600      3.41      1.13      1.36
  336.900      2.61     0.708     0.755
  337.200      2.79     0.684     0.779
  337.500      2.24      0.69     0.491
  337.800      3.22      0.81     0.868
  338.100      4.29     0.796      1.32
  338.400      3.74     0.743      0.98
  338.700      3.51     0.767      1.18
  339.000      3.33     0.754       1.2
  339.300      2.63     0.559     0.996
  339.600      2.13     0.599     0.948
  339.900      2.54     0.666     0.501
  340.200      3.01     0.747     0.569
  340.500      2.03     0.649     0.634
  340.800      2.42     0.619     0.393
  341.100      2.23     0.591     0.343
  341.400      2.07     0.705     0.844
  341.700      2.29     0.561     0.675
  342.000      1.26     0.504     0.812
  342.300      1.73     0.581     0.631
  342.600      2.95     0.677     0.898
  342.900      3.61     0.856      1.42
  343.200      1.44     0.532     0.732
  343.500      1.71     0.585     0.856
  343.800      2.79      0.65     0.799
  344.100      2.03      0.54       0.5
  344.400      2.82     0.587     0.804
  344.700      2.38     0.506     0.619
  345.000      2.23     0.512     0.544
  345.300      1.39     0.514     0.706
  345.600      1.85     0.581      0.41
  345.900      2.25      0.58     0.389
  346.200      2.43     0.571     0.375
  346.500      2.56     0.558     0.346
  346.800      2.06     0.562     0.473
  347.100      2.38     0.558     0.468
  347.400      1.52     0.396     0.916
  347.700      2.35      0.52     0.674
  348.000      3.93     0.648     0.565
  348.300      3.11     0.674     0.587
  348.600      2.11     0.508     0.425
  348.900      2.84      0.53     0.686
  349.200      2.46     0.538     0.538
  349.500      2.51     0.528     0.405
  349.800       2.6     0.594     0.554
  350.100      3.13     0.727     0.738
  350.400      2.95     0.672     0.499
  350.700      2.45     0.633     0.467
  351.000      1.69     0.625     0.637
  351.300      1.61      0.56     0.916
  351.600       1.6     0.577      1.03
  351.900      1.47     0.492      1.22
  352.200      1.95     0.533     0.764
  352.500      1.57     0.546     0.787
  352.800      2.13     0.659     0.853
  353.100      2.37     0.601     0.735
  353.400      2.71     0.631     0.858
  353.700      2.72     0.611     0.435
  354.000       2.2     0.568     0.257
  354.300      2.36     0.615     0.298
  354.600      2.57     0.545     0.821
  354.900      2.09     0.519     0.566
  355.200      2.76     0.594      1.14
  355.500      2.41     0.569       0.8
  355.800      2.58     0.564     0.684
  356.100      2.94     0.606      1.06
  356.400      3.09     0.656     0.814
  356.700      3.02     0.663     0.745
  357.000      2.34     0.564     0.737
  357.300      2.45     0.491      0.94
  357.600      1.64     0.451      1.11
  357.900         2     0.554     0.608
  358.200      2.43     0.555     0.885
  358.500      2.39     0.566     0.649
  358.800      2.53     0.577     0.518
  359.100      2.56     0.617     0.803
  359.400      1.75     0.571     0.804
  359.700      2.68     0.601     0.515
  360.000      3.26      0.63     0.522
  360.300      3.16     0.689     0.455
  360.600      2.46     0.588     0.629
  360.900      1.91     0.526     0.378
  361.200      2.95     0.584     0.868
  361.500       2.6     0.544     0.799
  361.800      2.29     0.514     0.592
  362.100      2.79     0.657     0.606
  362.400      2.88     0.563     0.777
  362.700      1.98      0.55     0.488
  363.000      1.93     0.519     0.503
  363.300      1.61     0.487     0.414
  363.600       1.7     0.499     0.316
  363.900      1.57     0.748     0.405
  364.200      1.36      0.67     0.546
  364.500      1.72     0.751     0.812
  364.800      1.79     0.782     0.748
  365.100      2.51     0.829     0.684
  365.400      1.82     0.798     0.483
  365.700      1.57     0.733     0.559
  366.000      2.85     0.887     0.402
  366.300      3.18     0.994     0.479
  366.600      1.59     0.703     0.731
  366.900      1.31     0.672     0.705
  367.200      2.22     0.885     0.556
  367.500      1.69     0.733     0.441
  367.800       1.7     0.707     0.525
  368.100      2.99     0.957     0.928
  368.400      3.04     0.897      1.05
  368.700      2.44     0.858     0.931
  369.000      3.24      0.98     0.894
  369.300      2.55     0.823     0.586
  369.600      1.69     0.744      1.21
  369.900      2.28     0.809     0.879
  370.200      2.79     0.774     0.885
  370.500      2.16     0.514     0.762
  370.800      2.58       0.6      0.54
  371.100      2.46     0.585      0.43
  371.400      1.11     0.397     0.983
  371.700      2.06     0.527     0.513
  372.000      1.98     0.539     0.435
  372.300      1.61     0.514     0.488
  372.600      2.07     0.587     0.481
  372.900      2.26     0.598     0.568
  373.200      2.91     0.659     0.493
  373.500       2.4     0.574     0.731
  373.800      1.84     0.511      0.43
  374.100      1.88     0.609     0.446
  374.400      2.43     0.566     0.435
  374.700      2.97     0.636     0.709
  375.000      2.62     0.579     0.415
  375.300      2.59     0.577      0.43
  375.600      2.54     0.618     0.372
  375.900      2.49     0.544     0.448
  376.200      2.01     0.573     0.731
  376.500      2.55     0.644     0.637
  376.800      1.34     0.476      0.66
  377.100      1.23     0.423      1.02
  377.400      1.32     0.447     0.823
  377.700      2.16     0.526     0.467
  378.000      2.28     0.552     0.384
  378.300      3.93     0.783      1.24
  378.600       2.7     0.605     0.926
  378.900      2.01     0.509     0.557
  379.200      2.07     0.549     0.412
  379.500      2.17     0.528     0.473
  379.800      1.97     0.468     0.742
  380.100      2.61     0.562     0.624
  380.400      2.13     0.508     0.784
  380.700       1.7     0.501     0.532
  381.000      2.09     0.506     0.497
  381.300      2.38     0.528     0.593
  381.600      2.82      0.56     0.702
  381.900      3.51     0.612      1.18
  382.200      2.94     0.615     0.753
  382.500      1.92      0.41      1.04
  382.800       2.4     0.462     0.656
  383.100      2.72     0.468     0.794
  383.400      2.34      0.47     0.646
  383.700      2.11     0.494     0.606
  384.000      2.06     0.431     0.497
  384.300      2.32     0.476     0.767
  384.600      2.32     0.475      0.66
  384.900      2.69     0.569     0.901
  385.200      2.16     0.453     0.646
  385.500      2.64      0.46      0.72
  385.800      2.74     0.524     0.546
  386.100      2.51     0.477     0.465
  386.400      2.08     0.453     0.507
  386.700      2.36     0.501      0.77
  387.000      2.27     0.495     0.573
  387.300      2.01     0.469     0.755
  387.600      2.62     0.577     0.561
  387.900      2.12     0.439     0.491
  388.200      2.51     0.478      0.91
  388.500      3.02     0.577     0.435
  388.800      1.87     0.427      0.64
  389.100       2.4     0.419      1.03
  389.400      2.34     0.558     0.513
  389.700      2.66     0.569      0.71
  390.000      2.98     0.594     0.905
  390.300      1.52      0.46     0.612
  390.600       2.2     0.534     0.478
  390.900      2.92     0.615     0.516
  391.200      2.82     0.548      0.69
  391.500      2.52     0.514     0.627
  391.800      2.51     0.548     0.607
  392.100      2.17     0.519     0.462
  392.400      2.31     0.522     0.408
  392.700      2.38     0.557     0.405
  393.000      3.04     0.576     0.428
  393.300      2.29     0.569     0.577
  393.600      1.31     0.463     0.962
  393.900      2.09     0.544     0.652
  394.200      2.33      0.54     0.731
  394.500       2.4     0.608     0.548
  394.800      2.65     0.535      0.35
  395.100      2.33     0.509     0.642
  395.400      2.06     0.502     0.704
  395.700      2.75     0.538     0.627
  396.000      3.23     0.683     0.464
  396.300       1.9     0.449     0.669
  396.600      2.64     0.547     0.865
  396.900      3.75     0.692     0.978
  397.200      2.37     0.534     0.538
  397.500      2.45     0.548     0.359
  397.800      2.86     0.642     0.596
  398.100      2.42     0.527     0.389
  398.400      2.22     0.492     0.662
  398.700      2.33      0.54     0.846
  399.000      2.26      0.55     0.543
  399.300      2.73     0.563     0.492
  399.600       2.3     0.536     0.836
  399.900      2.33     0.597     0.804
  400.200      3.27     0.681     0.629
  400.500      2.66     0.633     0.357
  400.800      2.49     0.555     0.616
  401.100      2.24     0.566     0.588
  401.400      2.76     0.623     0.402
  401.700      2.42     0.595     0.541
  402.000      2.69     0.646     0.449
  402.300      2.47     0.636     0.544
  402.600      2.45     0.638     0.512
  402.900      3.14     0.707     0.466
  403.200      2.83     0.608     0.358
  403.500      2.75      0.61     0.502
  403.800      3.38      0.74     0.736
  404.100      2.83     0.635       0.7
  404.400      2.88     0.615     0.539
  404.700      2.95     0.673     0.469
  405.000      2.34     0.564     0.393
  405.300      2.02     0.491     0.729
  405.600      2.45     0.641     0.464
  405.900      2.56     0.566     0.407
  406.200      2.58      0.58     0.486
  406.500      2.25     0.544     0.536
  406.800      2.84     0.614     0.663
  407.100      3.27     0.703     0.751
  407.400      2.21     0.512     0.545
  407.700      2.52     0.526     0.691
  408.000      2.87     0.677     0.472
  408.300      3.19     0.635     0.633
  408.600      3.17     0.649     0.863
  408.900      3.21     0.681     0.791
  409.200       2.9     0.568     0.499
  409.500      3.32       0.6     0.868
  409.800      2.51     0.597     0.367
  410.100      2.61     0.551     0.312
  410.400      2.68     0.553     0.319
  410.700      2.63     0.644     0.498
  411.000      2.63     0.542     0.395
  411.300      2.63     0.535     0.516
  411.600       2.7     0.514     0.541
  411.900      2.43     0.506     0.386
  412.200      2.49     0.554      0.36
  412.500      2.14     0.449     0.482
  412.800      1.94     0.451     0.384
  413.100      2.37     0.519     0.385
  413.400      2.52     0.542     0.386
  413.700      2.43     0.539     0.448
  414.000      2.54     0.526     0.568
  414.300      2.25     0.483     0.462
  414.600      2.73     0.481     0.566
  414.900      2.65     0.493     0.806
  415.200      2.37      0.43       0.7
  415.500      2.12     0.437     0.442
  415.800      2.19     0.507     0.412
  416.100      2.63     0.522     0.662
  416.400       3.2     0.613     0.939
  416.700      2.82      0.54     0.648
  417.000      2.31     0.475     0.713
  417.300      1.95     0.439     0.939
  417.600      2.96     0.526     0.618
  417.900      2.33     0.467     0.814
  418.200      2.43     0.466     0.789
  418.500      2.56     0.465     0.532
  418.800      2.84     0.479     0.775
  419.100      2.27     0.493      0.39
  419.400      2.71     0.491     0.276
  419.700      2.58     0.492     0.471
  420.000      2.21     0.488     0.358
  420.300      2.45     0.484     0.453
  420.600      2.64     0.518      0.59
  420.900      2.32     0.495     0.362
  421.200      2.16     0.457     0.474
  421.500      2.44     0.506     0.528
  421.800       2.9     0.537     0.945
  422.100      2.99     0.507      0.62
  422.400      2.82     0.481     0.646
  422.700      2.78     0.497     0.711
  423.000      2.86     0.478     0.607
  423.300      2.62     0.455      0.52
  423.600      2.22     0.433     0.345
  423.900       2.1     0.431     0.386
  424.200      2.03      0.47     0.465
  424.500      2.13     0.438     0.419
  424.800      1.94     0.395     0.693
  425.100      2.25      0.42     0.678
  425.400       2.6     0.416     0.627
  425.700      2.79     0.478     0.858
  426.000      2.64     0.429     0.574
  426.300      2.59      0.38     0.688
  426.600      1.98     0.355     0.787
  426.900      1.99     0.501     0.601
  427.200      1.77     0.481     0.513
  427.500      1.94     0.507      0.33
  427.800       2.3     0.512     0.326
  428.100      2.74     0.541     0.556
  428.400      3.05     0.602     0.806
  428.700      2.26     0.522     0.379
  429.000      2.13     0.501      0.39
  429.300      2.21     0.541     0.542
  429.600      2.55     0.543     0.342
  429.900      2.57     0.538     0.554
  430.200      1.86     0.476     0.356
  430.500      2.26     0.488     0.621
  430.800      2.91     0.572     0.606
  431.100         2     0.478     0.423
  431.400      2.23     0.487     0.389
  431.700      2.35     0.528     0.364
  432.000      2.36     0.499     0.349
  432.300      2.22     0.487     0.316
  432.600      2.53     0.552     0.395
  432.900      2.23     0.495     0.533
  433.200       2.8     0.521     0.372
  433.500      2.98     0.554     0.501
  433.800      2.86     0.538     0.603
  434.100      2.04     0.458     0.618
  434.400      1.95     0.473     0.673
  434.700      2.51     0.513     0.711
  435.000      2.53     0.541     0.547
  435.300      2.58     0.566     0.461
  435.600      2.63     0.522     0.359
  435.900      2.21     0.516     0.548
  436.200      1.82     0.448     0.697
  436.500      1.96     0.468     0.444
  436.800      1.92     0.475     0.413
  437.100      2.22     0.414     0.469
  437.400      2.17      0.38     0.534
  437.700      2.27     0.367     0.596
  438.000      2.77     0.428     0.534
  438.300      2.25     0.382      0.64
  438.600      1.86      0.34     0.471
  438.900      2.31      0.37     0.463
  439.200      3.09     0.437      0.52
  439.500      2.62       0.4     0.385
  439.800      2.32     0.372     0.371
  440.100      2.36      0.38     0.471
  440.400      2.48     0.396     0.479
  440.700       2.5     0.373      0.43
  441.000      2.19     0.346     0.588
  441.300      2.18     0.365     0.604
  441.600      2.25      0.36     0.584
  441.900      2.77     0.431     0.571
  442.200      2.15     0.356     0.364
  442.500      2.24      0.35     0.407
  442.800      2.81     0.417     0.493
  443.100      2.08     0.317       0.5
  443.400      2.15     0.335     0.486
  443.700      2.78     0.381     0.544
  444.000      2.54     0.352     0.581
  444.300      2.42     0.348     0.486
  444.600      3.03     0.435     0.495
  444.900      2.67     0.384     0.499
  445.200      2.44     0.384     0.444
  445.500      1.82     0.308     0.629
  445.800      1.92     0.306     0.725
  446.100      2.33     0.362     0.407
  446.400      2.51     0.355     0.559
  446.700      2.11     0.329     0.419
  447.000      1.86     0.351     0.525
  447.300      2.34     0.349     0.467
  447.600       2.4     0.357     0.411
  447.900      2.36      0.37     0.336
  448.200      2.45     0.367     0.477
  448.500      2.57     0.371     0.453
  448.800      1.91       0.3      0.77
  449.100      1.87     0.292     0.678
  449.400      2.29      0.34     0.434
  449.700      2.86     0.434     0.352
  450.000      2.81     0.413     0.435
  450.300      2.56     0.454     0.604
  450.600      2.31     0.377     0.504
  450.900      2.35     0.367     0.391
  451.200      2.54     0.399     0.341
  451.500      2.25     0.346     0.674
  451.800      1.81     0.316         1
  452.100      2.27      0.37     0.514
  452.400      2.64      0.38     0.442
  452.700      2.89     0.401     0.538
  453.000      2.48     0.379      0.46
  453.300      2.97     0.385     0.464
  453.600      3.11     0.403     0.539
  453.900      2.84     0.426     0.595
  454.200      2.76      0.42     0.434
  454.500      2.73     0.419     0.469
  454.800      2.01     0.383     0.375
  455.100      1.95     0.367     0.304
  455.400      2.31     0.399      0.43
  455.700      2.42     0.388     0.517
  456.000       2.8     0.398     0.512
  456.300      2.59     0.399     0.465
  456.600      2.85     0.437      0.59
  456.900      3.15      0.46     0.717
  457.200      2.77     0.425     0.359
  457.500      2.47     0.367     0.481
  457.800      2.37     0.365     0.472
  458.100      2.66     0.445     0.326
  458.400      3.06     0.448     0.454
  458.700      2.94     0.437     0.609
  459.000      2.07     0.349     0.568
  459.300      2.25     0.346     0.503
  459.600      2.22      0.36     0.804
  459.900       2.4     0.344     0.622
  460.200      3.12     0.409     0.746
  460.500       3.2     0.445     0.791
  460.800      2.57     0.351     0.636
  461.100      2.41     0.363     0.736
  461.400      2.86     0.446     0.562
  461.700      2.67     0.384     0.506
  462.000      2.56     0.369     0.504
  462.300      2.18     0.362     0.582
  462.600      2.04     0.309     0.833
  462.900      2.22     0.303     0.651
  463.200      2.01     0.299     0.642
  463.500      1.65     0.289     0.505
  463.800      2.52     0.339     0.474
  464.100      2.98     0.378      0.46
  464.400      3.06     0.364     0.429
  464.700      2.58     0.348     0.405
  465.000      2.25     0.318     0.379
  465.300      2.35     0.351     0.547
  465.600      2.56     0.389     0.446
  465.900      2.72     0.349     0.346
  466.200      2.81     0.355     0.362
  466.500      2.74     0.392     0.255
  466.800      2.96     0.369     0.202
  467.100      2.76     0.368     0.324
  467.400      2.87     0.415     0.674
  467.700      2.62      0.37     0.549
  468.000      2.45     0.347     0.474
  468.300      2.52     0.386     0.433
  468.600      2.51     0.353     0.337
  468.900      2.17     0.323     0.302
  469.200      2.83     0.408     0.515
  469.500      3.07     0.378     0.555
  469.800         3     0.407     0.546
  470.100      2.45     0.353     0.366
  470.400       2.4     0.359     0.369
  470.700      2.92     0.429     0.408
  471.000      3.05     0.409     0.401
  471.300      3.04     0.403     0.406
  471.600      2.57     0.368     0.373
  471.900      2.38     0.358     0.416
  472.200      2.12     0.333      0.53
  472.500      2.15     0.334     0.553
  472.800      2.62     0.372     0.567
  473.100      2.73     0.394     0.528
  473.400      2.46     0.407     0.535
  473.700      2.77     0.397     0.469
  474.000      3.11     0.458     0.706
  474.300      2.92     0.366     0.481
  474.600       2.8     0.371     0.431
  474.900      2.93      0.43     0.468
  475.200      2.82     0.387     0.316
  475.500      2.74     0.382     0.378
  475.800      2.44     0.382     0.492
  476.100      2.03     0.341     0.559
  476.400      2.68     0.356     0.436
  476.700      2.56      0.41     0.482
  477.000      2.68     0.505     0.375
  477.300      2.52     0.436     0.428
  477.600      2.41      0.47     0.421
  477.900      2.34     0.428     0.435
  478.200      2.36     0.458     0.579
  478.500      2.34     0.468     0.346
  478.800      2.36     0.494     0.291
  479.100      1.95     0.404     0.433
  479.400      2.19     0.406     0.613
  479.700      2.59      0.65     0.485
  480.000      2.68     0.753     0.462
  480.300      2.76     0.487     0.354
  480.600      2.17     0.484     0.447
  480.900      2.72     0.605     0.633
  481.200      2.71     0.664     0.524
  481.500      2.32      0.47     0.415
  481.800       2.5      0.52     0.688
  482.100       2.7     0.393     0.815
  482.400      2.49     0.396     0.598
  482.700       2.3     0.484     0.434
  483.000      2.37     0.518     0.379
  483.300      2.46     0.586     0.444
  483.600      2.84     0.653     0.332
  483.900      2.83     0.551       0.5
  484.200      2.68     0.578     0.602
  484.500      2.82     0.501     0.473
  484.800      2.75     0.522     0.432
  485.100      2.49     0.525     0.597
  485.400      2.65      0.57     0.617
  485.700       2.7     0.505     0.635
  486.000      2.65     0.535     0.495
  486.300      2.48     0.436     0.513
  486.600      2.71     0.466     0.565
  486.900      2.88     0.484     0.537
  487.200      2.26     0.481     0.479
  487.500      2.42     0.513     0.597
  487.800      2.08     0.523     0.743
  488.100      2.08     0.449     0.586
  488.400      2.44       0.5     0.657
  488.700      2.85     0.582     0.568
  489.000      2.87     0.635     0.627
  489.300      2.51     0.424     0.571
  489.600      2.55     0.473     0.625
  489.900      2.09     0.432      1.06
  490.200      1.93      0.45      1.06
  490.500      3.25     0.682     0.785
  490.800      3.56      0.78     0.889
  491.100      1.94     0.464         1
  491.400      1.89     0.442     0.842
  491.700      2.46     0.624     0.734
  492.000      2.67     0.722      0.81
  492.300      2.69     0.392      0.57
  492.600      3.17     0.417     0.727
  492.900      2.29     0.452     0.694
  493.200      2.13     0.475     0.683
  493.500      2.88     0.636      0.59
  493.800      3.04     0.697     0.546
  494.100      2.19     0.499     0.731
  494.400      2.09      0.52     0.782
  494.700      2.14     0.474     0.582
  495.000      2.21     0.515     0.424
  495.300      2.06     0.426     0.571
  495.600      2.16     0.439     0.684
  495.900      2.64     0.582     0.535
  496.200      2.87     0.656     0.495
  496.500       2.2     0.519     0.354
  496.800      1.91     0.536     0.373
  497.100      2.16     0.498     0.334
  497.400      2.12     0.502     0.312
  497.700      1.72     0.392     0.526
  498.000       1.8     0.402     0.572
  498.300      3.06     0.651     0.827
  498.600      3.62     0.755      0.98
  498.900      3.21     0.573     0.591
  499.200      2.99     0.598     0.473
  499.500      2.92     0.602     0.479
  499.800         3     0.645     0.477
  500.100       2.5      0.54     0.402
  500.400      2.01     0.559     0.455
  500.700      2.29     0.451     0.573
  501.000      2.36      0.47     0.663
  501.300      1.93      0.44     0.538
  501.600      1.68     0.432     0.471
  501.900      2.29     0.546     0.581
  502.200      3.08     0.653     0.672
  502.500      3.16     0.643     0.733
  502.800       3.4     0.706     0.876
  503.100       3.1     0.575     0.579
  503.400      2.73     0.597     0.632
  503.700      1.81     0.383     0.607
  504.000       1.8     0.397      0.59
  504.300      2.08     0.452     0.441
  504.600      2.49     0.536     0.421
  504.900      2.17     0.507     0.386
  505.200      2.24     0.552      0.44
  505.500      2.37     0.514     0.424
  505.800      2.07      0.54     0.532
  506.100      2.23     0.495     0.532
  506.400      2.16     0.498     0.416
  506.700      2.36     0.519     0.331
  507.000      2.54     0.564     0.496
  507.300      2.52     0.537     0.641
  507.600       2.5     0.564      0.52
  507.900      3.15     0.613     0.612
  508.200      3.49     0.668     0.788
  508.500       2.7     0.487     0.791
  508.800      2.31     0.512     0.515
  509.100      2.58       0.5     0.379
  509.400      2.66     0.536      0.37
  509.700      2.78     0.523     0.837
  510.000         2     0.443      0.68
  510.300      2.07     0.471     0.665
  510.600      2.08     0.493     0.674
  510.900      2.34     0.545     0.605
  511.200      2.48     0.603     0.537
  511.500      2.34      0.53     0.609
  511.800      2.37     0.559     0.564
  512.100      1.76     0.417     0.812
  512.400      1.73     0.414     0.734
  512.700      2.16      0.53     0.587
  513.000      2.27     0.606     0.702
  513.300      2.17     0.484     0.565
  513.600      2.17     0.511     0.615
  513.900      2.37     0.527     0.786
  514.200      2.78     0.597     0.541
  514.500      2.23     0.475     0.621
  514.800      1.89     0.486     0.475
  515.100      2.43       0.5     0.342
  515.400      2.42     0.535     0.472
  515.700      1.69     0.406     0.782
  516.000      1.47     0.407      0.63
  516.300      2.22     0.523     0.532
  516.600      2.78     0.598     0.379
  516.900      1.78     0.356     0.699
  517.200      1.27      0.35     0.754
  517.500      2.35     0.474     0.526
  517.800       2.6      0.52     0.473
  518.100      2.38     0.481      0.45
  518.400      2.44     0.501     0.637
  518.700      2.43     0.535     0.802
  519.000      2.48       0.6     0.743
  519.300      2.28     0.562     0.559
  519.600      2.27     0.602      0.48
  519.900      2.64      0.63      0.66
  520.200      2.99      0.68     0.687
  520.500       2.9      0.61     0.678
  520.800      2.97     0.668     0.703
  521.100      2.58     0.525     0.376
  521.400      2.62     0.554     0.255
  521.700      2.64     0.579     0.433
  522.000       2.8     0.623     0.564
  522.300      3.01     0.624     0.604
  522.600      3.39     0.683     0.712
  522.900      3.18     0.586     0.736
  523.200      3.01     0.636     0.754
  523.500      2.16     0.505     0.823
  523.800      2.23     0.535     0.546
  524.100      2.64     0.459      0.82
  524.400      1.93     0.386     0.712
  524.700      2.18     0.477     0.545
  525.000      2.68     0.558     0.377
  525.300      2.24     0.391      0.71
  525.600      2.03     0.392     0.762
  525.900      2.21     0.481     0.579
  526.200      2.22     0.519     0.534
  526.500      2.07     0.457     0.423
  526.800      2.78     0.522     0.605
  527.100      2.84     0.437     0.919
  527.400      2.81     0.473      1.01
  527.700      2.92     0.514     0.615
  528.000      2.42     0.545     0.409
  528.300      2.53     0.573     0.625
  528.600      2.95     0.645     0.562
  528.900       2.1     0.368     0.487
  529.200       2.1     0.372     0.321
  529.500      1.98     0.451     0.565
  529.800      2.32      0.51     0.599
  530.100      2.44     0.481     0.752
  530.400         2     0.453     0.667
  530.700      2.09     0.452     0.607
  531.000      2.35     0.502     0.461
  531.300      2.34     0.457     0.438
  531.600      2.02     0.486     0.511
  531.900      2.76     0.579     0.869
  532.200      3.21     0.684     0.971
  532.500      2.47     0.566     0.597
  532.800      2.09     0.496     0.335
  533.100      2.34     0.492     0.441
  533.400      2.23     0.559     0.418
  533.700      2.49     0.544     0.413
  534.000      2.85     0.593     0.303
  534.300       2.6     0.542      0.34
  534.600       2.9     0.575     0.531
  534.900      2.73      0.55     0.523
  535.200      2.46     0.584     0.486
  535.500      2.65     0.551     0.353
  535.800      2.65     0.606     0.558
  536.100      2.53     0.547     0.438
  536.400       2.3     0.505     0.459
  536.700      2.09     0.509     0.415
  537.000      2.56     0.595     0.454
  537.300      2.69     0.543     0.571
  537.600      1.96     0.514     0.897
  537.900      2.48     0.616     0.431
  538.200      2.83     0.681     0.588
  538.500      3.23     0.698     0.501
  538.800      3.05     0.712      0.43
  539.100      2.78     0.674     0.749
  539.400      2.93     0.752     0.876
  539.700       2.5      0.64     0.617
  540.000      2.64     0.667     0.429
  540.300      2.43     0.514      0.63
  540.600       2.6     0.401     0.588
  540.900      1.95     0.397     0.645
  541.200      1.71     0.434     0.811
  541.500      2.14     0.496     0.819
  541.800      2.89     0.652     0.634
  542.100      1.96      0.55     0.487
  542.400      2.43     0.615     0.389
  542.700      2.87     0.594     0.282
  543.000       2.4     0.561     0.494
  543.300      2.28     0.505     0.446
  543.600      2.24     0.565     0.331
  543.900      1.88     0.539     0.557
  544.200      2.56     0.654     0.657
  544.500      3.24     0.637     0.643
  544.800      2.83     0.585     0.516
  545.100      2.55     0.519     0.346
  545.400      2.37     0.542     0.342
  545.700      2.66     0.557     0.406
  546.000      3.23     0.667     0.503
  546.300      2.83      0.55     0.627
  546.600      2.05     0.425     0.707
  546.900      2.03     0.443     0.552
  547.200      2.81     0.561      0.76
  547.500      2.53     0.489     0.665
  547.800      2.12      0.48      0.56
  548.100      2.02      0.47     0.424
  548.400      2.18     0.531     0.309
  548.700      2.52     0.571     0.307
  549.000      2.48      0.61     0.279
  549.300       2.5     0.556     0.277
  549.600      2.63     0.599      0.25
  549.900      2.67     0.566       0.4
  550.200      2.76     0.612     0.487
  550.500      2.43      0.54     0.462
  550.800      2.31     0.588     0.393
  551.100      2.29     0.577     0.534
  551.400      2.85     0.659     0.486
  551.700      2.64     0.527     0.603
  552.000      2.28     0.502     0.654
  552.300      2.02     0.447     0.532
  552.600      2.39     0.519     0.562
  552.900      2.69     0.561     0.483
  553.200      2.27     0.571     0.566
  553.500      2.31     0.504     0.567
  553.800      2.52     0.553     0.507
  554.100      2.45     0.491     0.432
  554.400      2.34      0.51     0.369
  554.700      2.78     0.558     0.636
  555.000      2.89     0.601     0.587
  555.300      2.25     0.501     0.341
  555.600      1.87     0.475      0.36
  555.900      2.13      0.45     0.424
  556.200      2.31     0.497      0.56
  556.500      2.45     0.516     0.408
  556.800      2.39     0.539     0.393
  557.100      2.55     0.542      0.31
  557.400      2.48     0.572     0.309
  557.700      2.59     0.538     0.542
  558.000       2.8     0.596     0.532
  558.300      2.52     0.502     0.367
